	0
0	0.0026575364
1	0.0043424764
2	0.0059766187
3	0.006781969
4	0.00784906
5	0.007715162
6	0.0064637777
7	0.0064122826
8	0.0064171962
9	0.0060323766
10	0.00580155
11	0.0060250787
12	0.0062167607
13	0.006267856
14	0.0067676986
15	0.00681299
16	0.0068896813
17	0.0069955923
18	0.006698482
19	0.0065011634
20	0.006441495
21	0.0065957783
22	0.008001574
23	0.0070716357
24	0.0065391753
25	0.0069286916
26	0.007926357
27	0.0061377706
28	0.005977194
29	0.005746389
30	0.005720112
31	0.0057726745
32	0.005882935
33	0.0062573003
34	0.006284186
35	0.0062831715
36	0.006525239
37	0.0073091974
38	0.007189239
39	0.0075623384
40	0.0074208826
41	0.0072581093
42	0.0066897194
43	0.006675439
44	0.0062821135
45	0.0059654126
46	0.005773033
47	0.005852572
48	0.005489399
49	0.0062300754
50	0.006001247
51	0.005867442
52	0.006006106
53	0.0058261026
54	0.0056225085
55	0.005501387
56	0.0053136516
57	0.005290523
58	0.0056325737
59	0.0055774753
60	0.005659583
61	0.0065742023
62	0.0062811496
63	0.006190219
64	0.006027488
65	0.006248394
66	0.00619125
67	0.0059822686
68	0.005916845
69	0.005606521
70	0.0055773705
71	0.0054634116
72	0.005934675
73	0.0053610774
74	0.0060476223
75	0.005873765
76	0.0056606396
77	0.005613292
78	0.006302745
79	0.0058035073
80	0.006085663
81	0.006598999
82	0.0069226124
83	0.006816446
84	0.0069056386
85	0.0071694287
86	0.00684118
87	0.0068856487
88	0.0071869623
89	0.008080954
90	0.006841068
91	0.007262854
92	0.0074443934
93	0.007221247
94	0.0067059696
95	0.006186817
96	0.0061344896
97	0.006343513
98	0.0057840487
99	0.00583664
100	0.0062571326
101	0.0064200307
102	0.006144573
103	0.008738345
104	0.0063376203
105	0.0059198416
106	0.0056852596
107	0.0062647313
108	0.005806648
109	0.0055380943
110	0.005928716
111	0.006206453
112	0.0068112942
113	0.006800427
114	0.007232478
115	0.010063449
116	0.007569868
117	0.0077472236
118	0.0082368525
119	0.009080521
120	0.009138573
121	0.0075359885
122	0.0077771256
123	0.0072304374
124	0.006838004
125	0.0063090464
126	0.006053884
127	0.0063915686
128	0.006358695
129	0.0063760565
130	0.00704754
131	0.006692995
132	0.006480377
133	0.0060063805
134	0.0062703188
135	0.0061975773
136	0.007183272
137	0.0061985743
138	0.00662518
139	0.0071082357
140	0.007046552
141	0.007839276
142	0.0077717863
143	0.012179054
144	0.008727305
145	0.011711389
146	0.007846773
147	0.008351091
148	0.008074582
149	0.006504696
150	0.006134532
151	0.00629514
152	0.006043718
153	0.0053865192
